,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
37,Viet Tri,75,VN,2020-10-25,64,21.3,105.43,23.0,2.1
38,Hithadhoo,61,MV,2020-10-25,67,-0.6,73.08,28.66,2.65
39,Huarmey,45,PE,2020-10-25,83,-10.07,-78.15,17.59,4.11
40,East London,97,ZA,2020-10-25,70,-33.02,27.91,18.99,0.65
41,Mehamn,62,NO,2020-10-25,92,71.04,27.85,0.33,8.3
42,Bethel,90,US,2020-10-25,61,41.37,-73.41,9.0,1.5
43,Barrow,90,US,2020-10-25,68,71.29,-156.79,-3.0,3.6
44,Busselton,0,AU,2020-10-25,50,-33.65,115.33,21.11,3.98
45,Gravdal,75,NO,2020-10-25,86,68.12,13.5,5.0,4.6
46,Boueni,0,YT,2020-10-25,83,-12.9,45.08,25.0,2.1
47,Port Hedland,71,AU,2020-10-25,73,-20.32,118.57,25.0,5.7
48,Ballina,90,AU,2020-10-25,88,-28.87,153.57,22.78,2.1
49,Camacha,40,PT,2020-10-25,82,33.08,-16.33,20.0,4.6
50,Saint Paul Harbor,90,US,2020-10-25,87,57.79,-152.41,9.0,4.6
51,Laas,90,IT,2020-10-25,93,46.62,10.7,12.22,2.6
52,Cherskiy,100,RU,2020-10-25,96,68.75,161.3,-8.76,0.4
53,Edmundston,1,CA,2020-10-25,54,47.37,-68.33,-1.0,2.6
54,Narsaq,100,GL,2020-10-25,41,60.92,-46.05,6.0,12.9
55,Karratha,85,AU,2020-10-25,55,-20.74,116.85,23.57,5.84
56,Umluj,0,SA,2020-10-25,47,25.02,37.27,25.9,0.77
57,Faanui,12,PF,2020-10-25,73,-16.48,-151.75,26.62,3.49
58,Ilulissat,73,GL,2020-10-25,61,69.22,-51.1,-11.0,1.5
59,San Patricio,1,US,2020-10-25,100,28.02,-97.52,27.0,6.7
60,Bredasdorp,100,ZA,2020-10-25,93,-34.53,20.04,16.0,4.1
61,Chul'man,100,RU,2020-10-25,94,56.85,124.91,-3.57,1.38
62,Tocache,100,PE,2020-10-25,75,-8.18,-76.51,24.62,0.45
63,Beringovskiy,38,RU,2020-10-25,91,63.05,179.32,-0.48,0.85
64,Hermanus,88,ZA,2020-10-25,92,-34.42,19.23,15.56,0.89
65,New Norfolk,2,AU,2020-10-25,45,-42.78,147.06,13.89,0.96
66,Yārāda,75,IN,2020-10-25,100,17.65,83.27,25.0,1.5
67,Saint-Pierre,0,RE,2020-10-25,68,-21.34,55.48,21.0,3.1
68,Lebu,0,CL,2020-10-25,74,-37.62,-73.65,9.32,2.27
69,Moose Factory,90,CA,2020-10-25,68,51.26,-80.61,-3.0,2.1
70,Arraial do Cabo,81,BR,2020-10-25,84,-22.97,-42.03,22.5,4.0
71,Aragarças,100,BR,2020-10-25,78,-15.9,-52.25,25.71,0.66
72,Pitrufquén,0,CL,2020-10-25,66,-38.98,-72.65,12.0,3.6
73,Ayotzintepec,96,MX,2020-10-25,81,17.67,-96.13,24.69,0.42
74,Butaritari,50,KI,2020-10-25,71,3.07,172.79,27.38,4.1
75,Westport,90,US,2020-10-25,58,41.14,-73.36,12.0,5.1
76,Kalmunai,89,LK,2020-10-25,80,7.42,81.82,25.63,2.38
77,Ixtapa,75,MX,2020-10-25,66,20.7,-105.2,32.0,3.1
78,Flinders,75,AU,2020-10-25,93,-34.58,150.86,15.0,5.7
79,Hilo,40,US,2020-10-25,55,19.73,-155.09,31.0,5.1
80,Nanortalik,99,GL,2020-10-25,89,60.14,-45.24,1.53,6.25
81,Aksu,100,CN,2020-10-25,49,41.12,80.26,7.46,1.92
82,Buala,80,SB,2020-10-25,69,-8.14,159.59,29.49,0.46
83,Pontianak,89,ID,2020-10-25,82,-0.03,109.33,26.63,1.39
84,Jamestown,90,US,2020-10-25,70,42.1,-79.24,7.22,4.1
85,Nemuro,0,JP,2020-10-25,71,43.32,145.57,10.59,8.47
86,Otavi,75,NA,2020-10-25,25,-19.65,17.33,23.64,2.29
87,Albany,0,US,2020-10-25,53,42.6,-73.97,6.67,1.54
88,Canutama,91,BR,2020-10-25,84,-6.53,-64.38,25.0,1.19
89,Verkhnyaya Toyma,78,RU,2020-10-25,98,62.23,45.0,-4.47,1.78
90,Ponta do Sol,20,PT,2020-10-25,68,32.67,-17.1,19.0,2.6
91,Ushuaia,20,AR,2020-10-25,61,-54.8,-68.3,10.0,0.53
92,Chadiza,35,ZM,2020-10-25,57,-14.07,32.44,20.37,2.3
93,George Town,40,MY,2020-10-25,94,5.41,100.34,25.0,2.06
94,Lima,20,PE,2020-10-25,77,-12.04,-77.03,18.0,4.6
95,Saint-Philippe,0,RE,2020-10-25,68,-21.36,55.77,22.0,3.1
96,Qaanaaq,98,GL,2020-10-25,77,77.48,-69.36,-11.76,3.95
97,Hong Kong,100,HK,2020-10-25,78,22.29,114.16,23.33,7.06
98,Bengkulu,100,ID,2020-10-25,86,-3.8,102.27,23.92,2.43
99,Pangody,5,RU,2020-10-25,95,65.85,74.49,-12.63,5.01
100,Lompoc,90,US,2020-10-25,68,34.64,-120.46,18.0,6.2
101,Hasaki,75,JP,2020-10-25,76,35.73,140.83,12.0,1.5
102,Naze,75,JP,2020-10-25,64,28.37,129.48,23.0,2.1
103,Mossamedes,43,AO,2020-10-25,80,-15.2,12.15,20.2,2.42
104,Venado Tuerto,39,AR,2020-10-25,83,-33.75,-61.97,14.44,5.81
105,Uauá,82,BR,2020-10-25,43,-9.84,-39.48,28.08,6.18
106,Kilrush,75,IE,2020-10-25,87,52.64,-9.48,10.0,7.2
107,Kapaa,40,US,2020-10-25,74,22.08,-159.32,28.89,4.1
108,Puerto Ayora,53,EC,2020-10-25,86,-0.74,-90.35,20.0,2.24
109,Dandong,3,CN,2020-10-25,71,40.13,124.39,10.3,1.43
110,San Jose,40,US,2020-10-25,43,37.34,-121.89,22.0,4.6
111,Verkh-Suetka,100,RU,2020-10-25,85,53.3,80.05,3.9,7.1
112,Yelanskiy,100,RU,2020-10-25,97,56.84,62.5,-0.07,2.15
113,Oktyabr'skiy,100,RU,2020-10-25,78,54.48,53.47,3.92,6.66
114,Sioux Lookout,75,CA,2020-10-25,79,50.1,-91.92,-4.0,3.1
115,Kiunga,98,PG,2020-10-25,91,-6.12,141.29,26.27,1.33
116,Gold Coast,90,AU,2020-10-25,73,-28.0,153.43,23.89,4.1
117,Begampur,20,IN,2020-10-25,94,22.74,88.24,24.0,2.0
118,Bambanglipuro,100,ID,2020-10-25,82,-7.95,110.28,26.68,3.58
119,Vila Velha,90,BR,2020-10-25,94,-20.33,-40.29,22.0,3.53
120,Lys'va,100,RU,2020-10-25,96,58.11,57.81,-1.71,0.66
121,Buchanan,34,LR,2020-10-25,86,5.88,-10.05,25.59,2.16
122,Tiksi,100,RU,2020-10-25,90,71.69,128.87,-15.01,13.61
123,Korla,87,CN,2020-10-25,68,41.76,86.15,6.67,0.45
124,Havre-St-Pierre,1,CA,2020-10-25,78,50.23,-63.6,0.0,4.1
125,Mundo Nuevo (Ojo de Agua),83,MX,2020-10-25,79,18.7,-95.5,26.31,3.67
126,Port Elizabeth,75,ZA,2020-10-25,93,-33.92,25.57,17.0,4.1
127,Grindavik,0,IS,2020-10-25,86,63.84,-22.43,5.0,4.6
128,Los Llanos de Aridane,72,ES,2020-10-25,60,28.66,-17.92,22.0,5.1
129,Ubatuba,56,BR,2020-10-25,81,-23.43,-45.07,22.28,3.41
130,Ostrovnoy,100,RU,2020-10-25,94,68.05,39.51,-0.53,3.05
131,Tete,0,MZ,2020-10-25,48,-16.16,33.59,30.0,4.1
132,Coyhaique,75,CL,2020-10-25,57,-45.58,-72.07,9.0,3.1
133,Fethiye,0,TR,2020-10-25,82,36.62,29.12,15.0,2.6
134,Qui Nhon,100,VN,2020-10-25,88,13.77,109.23,24.7,1.87
135,Esperance,0,AU,2020-10-25,58,-33.87,121.9,15.0,9.8
136,Vostok,68,RU,2020-10-25,86,46.49,135.88,2.35,0.85
137,Mount Gambier,2,AU,2020-10-25,58,-37.83,140.77,13.0,10.3
138,Zeya,54,RU,2020-10-25,91,53.75,127.27,0.39,0.62
139,Ucluelet,75,CA,2020-10-25,65,48.93,-125.55,8.33,4.1
140,Panjāb,0,AF,2020-10-25,79,34.39,67.02,-4.59,1.12
141,Mafeteng,99,LS,2020-10-25,48,-29.82,27.24,19.1,1.43
142,Vardø,75,NO,2020-10-25,80,70.37,31.11,1.0,9.8
143,Vila Franca do Campo,20,PT,2020-10-25,82,37.72,-25.43,15.0,3.1
144,Tūkrah,90,LY,2020-10-25,75,32.53,20.58,21.27,2.41
145,Baykit,86,RU,2020-10-25,93,61.67,96.37,-9.34,0.99
146,Thompson,75,CA,2020-10-25,62,55.74,-97.86,-4.0,3.1
147,Pevek,100,RU,2020-10-25,98,69.7,170.31,-3.63,3.11
148,Evensk,100,RU,2020-10-25,86,61.95,159.23,1.39,6.13
149,Portland,20,US,2020-10-25,28,45.52,-122.68,8.33,9.3
150,Provideniya,90,RU,2020-10-25,74,64.38,-173.3,2.0,4.0
151,Ostružnica,20,RS,2020-10-25,100,44.73,20.32,12.0,1.5
152,Vilyuysk,100,RU,2020-10-25,95,63.76,121.62,-8.82,4.95
153,Leshukonskoye,91,RU,2020-10-25,98,64.9,45.76,-6.98,2.0
154,Porto Seguro,75,BR,2020-10-25,88,-16.45,-39.06,25.0,3.1
155,Dikson,100,RU,2020-10-25,98,73.51,80.55,-6.7,5.22
156,Atbasar,100,KZ,2020-10-25,82,51.8,68.33,7.85,7.59
157,Borovskoy,100,KZ,2020-10-25,96,53.8,64.15,8.33,5.19
158,Puerto Escondido,75,MX,2020-10-25,70,15.85,-97.07,29.0,2.6
159,Caravelas,100,BR,2020-10-25,96,-17.71,-39.25,22.47,5.32
160,Lavaca,90,US,2020-10-25,69,28.61,-96.63,27.22,6.2
161,Dabat,74,ET,2020-10-25,59,12.98,37.77,11.39,1.3
162,Asău,100,RO,2020-10-25,98,46.43,26.4,11.67,0.98
163,Yangi Marg`ilon,0,UZ,2020-10-25,49,40.43,71.72,8.0,3.1
164,Torbay,75,CA,2020-10-25,80,47.67,-52.73,5.0,9.3
165,Kampene,100,CD,2020-10-25,98,-3.6,26.67,19.93,0.92
166,Severo-Kuril'sk,93,RU,2020-10-25,82,50.68,156.12,7.7,2.95
167,Scarborough,6,GB,2020-10-25,89,54.28,-0.4,6.67,2.24
168,Bonthe,5,SL,2020-10-25,85,7.53,-12.51,25.74,2.42
169,Saint-Félicien,90,CA,2020-10-25,64,48.65,-72.45,1.0,1.5
170,Lichuan,99,CN,2020-10-25,67,30.3,108.85,11.36,0.1
171,Fortuna,1,US,2020-10-25,66,40.6,-124.16,16.11,4.1
172,Necochea,100,AR,2020-10-25,91,-38.55,-58.74,13.33,5.81
173,Iisalmi,90,FI,2020-10-25,93,63.56,27.19,3.0,4.1
174,Emba,100,KZ,2020-10-25,71,48.83,58.14,12.58,9.09
175,Kahului,40,US,2020-10-25,46,20.89,-156.47,34.0,6.7
176,Fairbanks,1,US,2020-10-25,79,64.84,-147.72,0.56,1.68
177,Iqaluit,75,CA,2020-10-25,85,63.75,-68.51,-10.0,1.5
178,Chapais,90,CA,2020-10-25,79,49.78,-74.85,-3.0,1.5
179,Olafsvik,100,IS,2020-10-25,81,64.89,-23.71,5.59,10.12
180,Gornopravdinsk,99,RU,2020-10-25,97,60.05,69.9,0.54,2.06
181,El Salvador,20,SV,2020-10-25,100,13.83,-88.92,26.0,1.5
182,Mapimí,5,MX,2020-10-25,13,25.82,-103.85,35.0,1.53
183,Sayansk,0,RU,2020-10-25,93,54.11,102.16,-6.31,1.5
184,Yar-Sale,68,RU,2020-10-25,96,66.83,70.83,-11.55,4.52
185,Shubarkuduk,84,KZ,2020-10-25,80,49.14,56.49,11.73,9.1
186,Avarua,79,CK,2020-10-25,69,-21.21,-159.78,26.0,5.7
187,Saint George,74,US,2020-10-25,37,37.1,-113.58,13.89,11.3
188,Saldanha,16,ZA,2020-10-25,82,-33.01,17.94,14.0,3.1
189,Saskylakh,100,RU,2020-10-25,94,71.92,114.08,-13.13,4.68
190,Monte di Procida,20,IT,2020-10-25,87,40.8,14.05,16.0,1.0
191,Ahipara,2,NZ,2020-10-25,63,-35.17,173.17,20.76,3.02
192,Houston,90,US,2020-10-25,88,29.76,-95.36,24.0,6.7
193,Antofagasta,75,CL,2020-10-25,72,-23.65,-70.4,15.0,5.1
194,Clyde River,40,CA,2020-10-25,85,70.47,-68.59,-11.0,4.1
195,Sistranda,20,NO,2020-10-25,81,63.73,8.83,8.0,6.2
196,Alyangula,90,AU,2020-10-25,94,-13.85,136.42,24.0,1.0
197,Mayo,90,US,2020-10-25,87,38.89,-76.51,11.0,3.1
198,Broome,90,US,2020-10-25,45,42.25,-75.83,8.33,2.36
199,Taltal,20,CL,2020-10-25,56,-25.4,-70.48,16.02,2.73
200,Waingapu,100,ID,2020-10-25,64,-9.66,120.26,28.35,2.04
201,Gmina Szubin,90,PL,2020-10-25,100,53.01,17.74,10.56,5.1
202,Yuanping,0,CN,2020-10-25,50,38.72,112.76,11.92,1.66
203,Mahébourg,75,MU,2020-10-25,88,-20.41,57.7,22.0,8.2
204,Mombetsu,27,JP,2020-10-25,70,44.35,143.35,10.56,5.36
205,Merauke,82,ID,2020-10-25,63,-8.47,140.33,29.11,2.82
206,Coahuayana Viejo,40,MX,2020-10-25,83,18.73,-103.68,27.0,6.2
207,Seoul,1,KR,2020-10-25,100,37.57,126.98,9.0,0.64
208,Kaseda-shirakame,20,JP,2020-10-25,81,31.42,130.32,11.0,2.1
209,Panabá,21,MX,2020-10-25,92,21.28,-88.27,24.7,3.86
210,Touros,40,BR,2020-10-25,83,-5.2,-35.46,26.0,3.6
211,Ribeira Grande,77,PT,2020-10-25,72,38.52,-28.7,18.41,2.33
212,Pizarro,100,CO,2020-10-25,86,4.95,-77.37,25.68,2.37
213,Calvinia,90,ZA,2020-10-25,57,-31.47,19.78,16.67,1.81
214,Poum,7,NC,2020-10-25,73,-20.23,164.02,25.18,6.69
215,La Cruz,0,MX,2020-10-25,67,23.92,-106.9,28.19,2.41
216,Tosya,98,TR,2020-10-25,34,41.02,34.04,15.19,0.23
217,Meseşenii de Jos,100,RO,2020-10-25,100,47.15,22.98,13.0,1.5
218,Pisco,0,PE,2020-10-25,72,-13.7,-76.22,19.0,7.7
219,Husavik,90,IS,2020-10-25,80,66.04,-17.34,5.0,2.6
220,Sīrjān,0,IR,2020-10-25,57,29.45,55.68,5.74,0.62
221,Lázaro Cárdenas,27,MX,2020-10-25,83,17.96,-102.2,28.36,3.34
222,Eirunepé,65,BR,2020-10-25,97,-6.66,-69.87,23.7,0.89
223,Omboué,100,GA,2020-10-25,88,-1.57,9.26,24.98,3.39
224,Moanda,100,GA,2020-10-25,98,-1.56,13.22,21.87,1.52
225,Cap-aux-Meules,75,CA,2020-10-25,51,47.38,-61.86,4.0,10.3
226,Española,90,US,2020-10-25,26,35.99,-106.08,17.22,6.7
227,Mount Isa,60,AU,2020-10-25,29,-20.73,139.5,24.0,5.7
228,Konde,38,TZ,2020-10-25,86,-4.95,39.75,24.7,2.39
229,Abhā,0,SA,2020-10-25,21,18.22,42.51,16.0,0.89
230,Jasper,90,US,2020-10-25,70,37.2,-94.35,8.0,4.6
231,San Quintín,82,MX,2020-10-25,69,30.48,-115.95,19.43,6.57
232,Chokurdakh,5,RU,2020-10-25,92,70.63,147.92,-14.38,4.32
233,Nikolskoye,90,RU,2020-10-25,93,59.7,30.79,6.11,3.0
234,Beihai,100,CN,2020-10-25,80,21.48,109.1,21.73,4.44
235,Dwārka,0,IN,2020-10-25,61,22.24,68.97,27.35,3.21
236,Pingliang,17,CN,2020-10-25,50,35.54,106.69,8.2,3.79
237,Santiago,0,CL,2020-10-25,55,-33.46,-70.65,18.89,6.7
238,Mayor Pablo Lagerenza,96,PY,2020-10-25,40,-19.93,-60.77,33.01,4.27
239,Lüderitz,78,NA,2020-10-25,53,-26.65,15.16,18.68,9.86
240,Vieux Fort,40,LC,2020-10-25,78,13.72,-60.95,28.0,7.2
241,Huayucachi,86,PE,2020-10-25,56,-12.13,-75.23,14.41,0.17
242,Comodoro Rivadavia,0,AR,2020-10-25,29,-45.87,-67.5,17.0,8.7
243,Adrar,51,MR,2020-10-25,13,20.5,-10.07,30.87,3.05
244,Tomohon,40,ID,2020-10-25,78,1.33,124.84,28.0,0.77
245,Dzilam González,49,MX,2020-10-25,90,21.28,-88.93,25.07,3.22
246,Lavrentiya,95,RU,2020-10-25,88,65.58,-171.0,1.01,3.57
247,Pochutla,20,MX,2020-10-25,74,15.74,-96.47,29.0,1.57
248,Paita,61,PE,2020-10-25,87,-5.09,-81.11,17.53,6.08
249,Takoradze,100,GH,2020-10-25,91,4.88,-1.76,25.17,3.75
250,Kita,2,ML,2020-10-25,26,13.03,-9.49,23.64,0.8
251,San Fernando del Valle de Catamarca,50,AR,2020-10-25,72,-28.47,-65.79,21.67,4.47
252,Gorin,5,RU,2020-10-25,74,51.2,136.67,4.05,1.25
253,Kargasok,100,RU,2020-10-25,98,59.06,80.86,-2.87,4.99
254,Inta,81,RU,2020-10-25,93,66.03,60.17,-8.43,4.14
255,Chumikan,0,RU,2020-10-25,87,54.72,135.31,-0.35,8.45
256,Castro,0,BR,2020-10-25,95,-24.79,-50.01,16.68,3.18
257,Carnarvon,75,AU,2020-10-25,83,-24.87,113.63,22.0,8.2
258,Srednekolymsk,32,RU,2020-10-25,91,67.45,153.68,-9.73,0.34
259,Milverton,90,CA,2020-10-25,86,43.57,-80.92,5.0,5.7
260,Joshīmath,6,IN,2020-10-25,50,30.57,79.57,7.4,0.65
261,College,90,US,2020-10-25,74,64.86,-147.8,0.56,2.1
262,Kavaratti,92,IN,2020-10-25,74,10.57,72.64,27.46,1.49
263,Arman',100,RU,2020-10-25,76,59.7,150.17,2.73,5.62
264,Somerset,90,US,2020-10-25,81,40.57,-74.55,9.44,1.5
265,Kismayo,75,SO,2020-10-25,82,-0.36,42.55,25.97,4.31
266,Hīt,24,IQ,2020-10-25,24,33.64,42.83,19.13,2.39
267,Alofi,90,NU,2020-10-25,83,-19.06,-169.92,25.0,5.1
268,Hobyo,5,SO,2020-10-25,82,5.35,48.53,26.29,3.21
269,Lakes Entrance,81,AU,2020-10-25,86,-37.88,147.98,14.44,1.34
270,Mirny,40,RU,2020-10-25,61,62.54,113.96,-9.0,4.0
271,San Vicente,41,AR,2020-10-25,58,-26.62,-54.13,24.94,1.89
272,Rawson,28,AR,2020-10-25,34,-43.3,-65.1,15.34,2.61
273,Acaraú,25,BR,2020-10-25,78,-2.89,-40.12,26.65,7.83
274,Kieta,50,PG,2020-10-25,65,-6.22,155.63,29.41,1.72
275,Umba,79,RU,2020-10-25,95,66.69,34.34,-2.97,3.5
276,Örnsköldsvik,100,SE,2020-10-25,100,63.29,18.72,9.0,4.1
277,Tuktoyaktuk,90,CA,2020-10-25,92,69.45,-133.04,-7.0,8.2
278,Nome,90,US,2020-10-25,80,64.5,-165.41,4.0,2.6
279,Gizo Government Station,39,SB,2020-10-25,68,-8.1,156.84,29.23,1.43
280,Apricena,5,IT,2020-10-25,93,41.78,15.44,12.22,1.0
281,Kibre Mengist,96,ET,2020-10-25,95,5.88,38.98,15.46,0.22
282,Puyang,89,CN,2020-10-25,78,29.46,119.89,15.88,0.53
283,Souillac,75,MU,2020-10-25,88,-20.52,57.52,22.0,8.2
284,Kavieng,100,PG,2020-10-25,76,-2.57,150.8,28.25,4.11
285,Zhoucheng,83,CN,2020-10-25,1,35.91,116.31,15.0,2.28
286,Ola,100,RU,2020-10-25,74,59.58,151.28,3.11,6.61
287,Murgab,0,TM,2020-10-25,45,37.5,61.97,10.0,2.1
288,Isiro,100,CD,2020-10-25,99,2.77,27.62,18.91,1.09
289,Sabha,0,LY,2020-10-25,34,27.04,14.43,19.82,3.81
290,Srebrenica,11,BA,2020-10-25,100,44.11,19.3,8.0,1.5
291,Mahanje,58,TZ,2020-10-25,79,-9.93,35.33,18.83,1.29
292,Richards Bay,100,ZA,2020-10-25,79,-28.78,32.04,21.27,5.14
293,Awjilah,0,LY,2020-10-25,85,29.11,21.29,17.3,2.76
294,Sangar,100,RU,2020-10-25,90,63.92,127.47,-9.05,1.88
295,Natal,40,BR,2020-10-25,83,-5.79,-35.21,26.0,3.6
296,Jumla,0,NP,2020-10-25,56,29.27,82.18,5.59,3.06
297,Varna,90,BG,2020-10-25,82,43.22,27.92,16.0,3.1
298,Inhambane,1,MZ,2020-10-25,90,-23.86,35.38,22.21,1.91
299,Talara,20,PE,2020-10-25,88,-4.58,-81.27,17.9,5.44
300,Hay River,75,CA,2020-10-25,68,60.82,-115.8,-2.0,4.1
301,Emirdağ,70,TR,2020-10-25,31,39.02,31.15,16.87,2.72
302,Santa Cruz de la Sierra,68,BO,2020-10-25,62,-17.8,-63.17,30.0,6.7
303,Anadyr,90,RU,2020-10-25,100,64.75,177.48,-5.0,3.0
304,San Cristobal,40,VE,2020-10-25,78,7.77,-72.22,27.0,2.6
305,Kailua,40,US,2020-10-25,78,21.4,-157.74,28.33,4.1
306,Birjand,0,IR,2020-10-25,23,32.87,59.22,4.0,4.1
307,Half Moon Bay,1,US,2020-10-25,72,37.46,-122.43,21.0,2.6
308,Lensk,100,RU,2020-10-25,96,60.73,114.93,-4.83,3.68
309,Berlevåg,67,NO,2020-10-25,88,70.86,29.09,1.13,9.75
310,Goderich,97,CA,2020-10-25,69,43.75,-81.72,6.11,6.33
311,Ust-Nera,51,RU,2020-10-25,87,64.57,143.2,-13.79,2.02
312,Yerbogachën,100,RU,2020-10-25,96,61.28,108.01,-4.76,1.94
313,Marzuq,0,YE,2020-10-25,32,14.4,46.47,16.2,0.48
314,Avera,90,US,2020-10-25,94,33.19,-82.53,23.0,1.5
315,Hatillo,40,PR,2020-10-25,78,18.49,-66.83,28.0,4.6
316,Sinnamary,55,GF,2020-10-25,81,5.38,-52.95,27.3,4.97
317,Bell Ville,41,AR,2020-10-25,78,-32.63,-62.69,15.0,1.34
318,Iquique,90,CL,2020-10-25,77,-20.22,-70.14,17.0,6.7
319,Udachny,0,RU,2020-10-25,84,66.42,112.4,-18.0,1.0
320,Tegul'det,99,RU,2020-10-25,97,57.31,88.17,-2.83,3.52
321,Suzano,0,BR,2020-10-25,82,-23.54,-46.31,19.0,2.1
322,Hambantota,95,LK,2020-10-25,80,6.12,81.12,25.63,4.12
323,Norman Wells,75,CA,2020-10-25,92,65.28,-126.83,-1.0,5.7
324,Smirnykh,100,RU,2020-10-25,78,49.75,142.83,5.02,5.33
325,Seydi,0,TM,2020-10-25,46,39.48,62.91,10.12,3.4
326,Kroya,100,ID,2020-10-25,82,-7.63,109.25,20.56,1.91
327,Bandarbeyla,10,SO,2020-10-25,79,9.49,50.81,23.75,4.42
328,Kulhudhuffushi,100,MV,2020-10-25,77,6.62,73.07,27.73,4.16
329,Cayenne,0,GF,2020-10-25,78,4.93,-52.33,28.0,1.5
330,Vredendal,67,ZA,2020-10-25,76,-31.67,18.5,15.21,0.76
331,Qaryat Sulūq,42,LY,2020-10-25,86,31.67,20.25,19.77,1.76
332,Morrinhos,100,BR,2020-10-25,90,-17.73,-49.1,21.43,2.02
333,Vyazemskiy,31,RU,2020-10-25,75,47.54,134.75,5.74,1.85
334,Rudnogorsk,10,RU,2020-10-25,98,57.26,103.75,-7.74,1.9
335,Porto Velho,40,BR,2020-10-25,88,-8.76,-63.9,26.0,0.5
336,Évreux,20,FR,2020-10-25,93,49.02,1.15,8.0,5.1
337,Paramonga,61,PE,2020-10-25,85,-10.67,-77.83,17.17,4.17
338,Bubaque,28,GW,2020-10-25,80,11.28,-15.83,28.64,5.45
339,Rognedino,91,RU,2020-10-25,89,53.8,33.56,6.39,1.43
340,Jijiga,0,ET,2020-10-25,37,9.35,42.8,14.08,1.8
341,Kandrian,92,PG,2020-10-25,63,-6.22,149.55,29.9,0.89
342,Aden,23,YE,2020-10-25,54,12.78,45.04,28.15,6.2
343,Waitati,100,NZ,2020-10-25,90,-45.75,170.57,8.33,0.89
344,Galveston,90,US,2020-10-25,83,29.37,-94.97,25.0,6.2
345,Province of Mantua,96,IT,2020-10-25,93,45.17,10.78,14.44,1.68
346,Raudeberg,56,NO,2020-10-25,82,61.99,5.14,8.33,9.58
347,Itō,75,JP,2020-10-25,72,34.97,139.08,19.0,4.1
348,La Ronge,40,CA,2020-10-25,53,55.1,-105.28,-4.0,3.1
349,Coquimbo,20,CL,2020-10-25,82,-29.95,-71.34,13.0,4.6
350,Milas,0,TR,2020-10-25,82,37.32,27.78,14.0,1.5
351,Longyearbyen,75,SJ,2020-10-25,74,78.22,15.64,-1.0,4.6
352,Hailar,100,CN,2020-10-25,93,49.2,119.7,-0.07,2.41
